split,method,examples,precision,recall,f1,site_macro_f1,type_macro_f1,jsonld_validity,hallucination_rate,unsupported_fields,predicted_fields
SWDE-1600,baseline_regex,1600,0.338,0.278,0.305,0.308,0.303,0.135,0.000,0,7094
SWDE-1600,evidence_only,1600,0.354,0.278,0.312,0.313,0.309,0.135,0.000,0,6768
SWDE-1600,no_evidence_validator,1600,0.326,0.384,0.353,0.342,0.343,1.000,0.256,2598,10158
SWDE-1600,no_nested_mapping,1600,0.526,0.276,0.362,0.360,0.360,1.000,0.000,0,4530
SWDE-1600,no_schema_validator,1600,0.351,0.308,0.328,0.330,0.329,0.126,0.000,0,7565
SWDE-1600,no_site_star_rule,1600,0.475,0.384,0.425,0.413,0.414,1.000,0.000,0,6978
SWDE-1600,no_type_aware_aliases,1600,0.489,0.354,0.411,0.398,0.396,1.000,0.000,0,6237
SWDE-1600,schema_only,1600,0.506,0.246,0.331,0.332,0.328,1.000,0.000,0,4197
SWDE-1600,schemarag,1600,0.475,0.384,0.425,0.413,0.414,1.000,0.000,0,6978
SWDE-1600,schemaplan_rag_deepseek,1600,0.941,0.932,0.936,0.930,0.933,1.000,0.000,0,8531
Legacy non-SWDE-434,baseline_regex,434,0.919,0.307,0.460,0.396,0.300,0.058,0.000,0,1748
Legacy non-SWDE-434,evidence_only,434,0.920,0.307,0.460,0.395,0.295,0.058,0.000,0,1744
Legacy non-SWDE-434,no_evidence_validator,434,0.830,0.923,0.874,0.688,0.330,1.000,0.137,798,5814
Legacy non-SWDE-434,no_nested_mapping,434,0.935,0.307,0.463,0.399,0.301,1.000,0.000,0,1719
Legacy non-SWDE-434,no_schema_validator,434,0.961,0.692,0.805,0.642,0.342,0.058,0.000,0,3761
Legacy non-SWDE-434,no_site_star_rule,434,0.974,0.847,0.906,0.719,0.371,1.000,0.000,0,4545
Legacy non-SWDE-434,no_type_aware_aliases,434,0.956,0.462,0.623,0.517,0.330,1.000,0.000,0,2526
Legacy non-SWDE-434,schema_only,434,0.918,0.230,0.368,0.327,0.280,1.000,0.000,0,1308
Legacy non-SWDE-434,schemarag,434,0.976,0.923,0.949,0.748,0.375,1.000,0.000,0,4946
Legacy non-SWDE-434,schemaplan_rag_deepseek,434,0.972,0.895,0.932,0.720,0.337,1.000,0.000,0,4814
WDC-PAVE-1418,baseline_regex,1418,0.810,0.514,0.628,0.714,0.628,0.635,0.000,0,4771
WDC-PAVE-1418,evidence_only,1418,0.810,0.514,0.628,0.714,0.628,0.635,0.000,0,4771
WDC-PAVE-1418,no_evidence_validator,1418,0.603,0.579,0.591,0.621,0.591,1.000,0.391,2828,7231
WDC-PAVE-1418,no_nested_mapping,1418,0.995,0.579,0.732,0.795,0.732,1.000,0.000,0,4377
WDC-PAVE-1418,no_schema_validator,1418,0.690,0.579,0.630,0.682,0.630,0.000,0.000,0,6318
WDC-PAVE-1418,no_site_star_rule,1418,0.991,0.579,0.731,0.787,0.731,1.000,0.000,0,4395
WDC-PAVE-1418,no_type_aware_aliases,1418,0.906,0.514,0.656,0.729,0.656,1.000,0.000,0,4263
WDC-PAVE-1418,schema_only,1418,0.908,0.514,0.656,0.733,0.656,1.000,0.000,0,4254
WDC-PAVE-1418,schemarag,1418,0.991,0.579,0.731,0.787,0.731,1.000,0.000,0,4395
WDC-PAVE-1418,schemaplan_rag_deepseek,1418,0.945,0.935,0.940,0.922,0.940,1.000,0.002,16,7439
WebSchema-JSONLD Bench-3452,baseline_regex,3452,0.578,0.368,0.450,0.502,0.306,0.331,0.000,0,13613
WebSchema-JSONLD Bench-3452,evidence_only,3452,0.592,0.368,0.454,0.504,0.309,0.331,0.000,0,13283
WebSchema-JSONLD Bench-3452,no_evidence_validator,3452,0.539,0.585,0.561,0.481,0.332,1.000,0.268,6224,23203
WebSchema-JSONLD Bench-3452,no_nested_mapping,3452,0.786,0.391,0.522,0.566,0.346,1.000,0.000,0,10626
WebSchema-JSONLD Bench-3452,no_schema_validator,3452,0.603,0.497,0.545,0.503,0.336,0.066,0.000,0,17644
WebSchema-JSONLD Bench-3452,no_site_star_rule,3452,0.760,0.566,0.649,0.596,0.391,1.000,0.000,0,15918
WebSchema-JSONLD Bench-3452,no_type_aware_aliases,3452,0.716,0.437,0.543,0.557,0.362,1.000,0.000,0,13026
WebSchema-JSONLD Bench-3452,schema_only,3452,0.736,0.336,0.462,0.521,0.318,1.000,0.000,0,9759
WebSchema-JSONLD Bench-3452,schemarag,3452,0.766,0.585,0.663,0.596,0.393,1.000,0.000,0,16319
WebSchema-JSONLD Bench-3452,schemaplan_rag_deepseek,3452,0.950,0.924,0.937,0.922,0.658,1.000,0.001,16,20784
