method,examples,precision,recall,f1,site_macro_f1,type_macro_f1,jsonld_validity,hallucination_rate,unsupported_fields,predicted_fields
baseline_regex,3452,0.578,0.368,0.450,0.502,0.306,0.331,0.000,0,13613
evidence_only,3452,0.592,0.368,0.454,0.504,0.309,0.331,0.000,0,13283
no_evidence_validator,3452,0.539,0.585,0.561,0.481,0.332,1.000,0.268,6224,23203
no_nested_mapping,3452,0.786,0.391,0.522,0.566,0.346,1.000,0.000,0,10626
no_schema_validator,3452,0.603,0.497,0.545,0.503,0.336,0.066,0.000,0,17644
no_site_star_rule,3452,0.760,0.566,0.649,0.596,0.391,1.000,0.000,0,15918
no_type_aware_aliases,3452,0.716,0.437,0.543,0.557,0.362,1.000,0.000,0,13026
schema_only,3452,0.736,0.336,0.462,0.521,0.318,1.000,0.000,0,9759
schemarag,3452,0.766,0.585,0.663,0.596,0.393,1.000,0.000,0,16319
schemaplan_rag_deepseek,3452,0.950,0.924,0.937,0.922,0.658,1.000,0.001,16,20784
